Numero,Nom_recette,Ingredient,Quantite,Unite,Rayon_magasin
1,Velouté de courgettes,Courgettes,4,u,Fruits et Légumes
1,Velouté de courgettes,Kiri,4,u,Produits laitiers
2,Velouté de potiron,Potiron,1,u,Fruits et Légumes
2,Velouté de potiron,Kiri,4,u,Produits laitiers
3,Velouté aux champignons et poireaux,Champignons de Paris,400,g,Fruits et Légumes
3,Velouté aux champignons et poireaux,Oignon,1,u,Fruits et Légumes
3,Velouté aux champignons et poireaux,Poireaux,1,u,Fruits et Légumes
3,Velouté aux champignons et poireaux,Crème Fraiche,15,cl,Produits laitiers
4,Soupe au pistou,Courgettes,2,u,Fruits et Légumes
4,Soupe au pistou,Coquillettes,150,g,"Pâtes, Riz, Céréales"
4,Soupe au pistou,Pesto,2,c. à soupe,"Pâtes, Riz, Céréales"
4,Soupe au pistou,Tomates,4,u,Fruits et Légumes
5,Riz cantonnais,Riz,320,g,"Pâtes, Riz, Céréales"
5,Riz cantonnais,Oeufs,6,u,Oeufs
5,Riz cantonnais,Jambon,2,tranches,Viandes et charcuterie
5,Riz cantonnais,Petits pois,120,g,Conserves
5,Riz cantonnais,Sauce soja,4,c. à soupe,Produits du monde
6,Riz et ratatouille,Riz,320,g,"Pâtes, Riz, Céréales"
6,Riz et ratatouille,Ratatouille,320,g,Conserves
6,Riz et ratatouille,Sauce tomate,300,ml,"Pâtes, Riz, Céréales"
7,Riz avec sauce soja noix de cajou et poivrons,Riz,320,g,"Pâtes, Riz, Céréales"
7,Riz avec sauce soja noix de cajou et poivrons,Noix de cajou,100,g,Fruits secs
7,Riz avec sauce soja noix de cajou et poivrons,Gousses d'ail,2,u,Fruits et Légumes
7,Riz avec sauce soja noix de cajou et poivrons,Oignon,1,u,Fruits et Légumes
7,Riz avec sauce soja noix de cajou et poivrons,Poivrons,300,g,Fruits et Légumes
7,Riz avec sauce soja noix de cajou et poivrons,Huile d'olive,5,cl,"Huiles, vinaigres, sauces"
7,Riz avec sauce soja noix de cajou et poivrons,Sauce soja,5,cl,Produits du monde
7,Riz avec sauce soja noix de cajou et poivrons,Citron,1,u,Fruits et Légumes
8,Salade de lentilles,Lentilles cuites,400,g,Conserves
8,Salade de lentilles,Haricots blancs cuits,200,g,Conserves
8,Salade de lentilles,Pesto,2,c. à soupe,"Pâtes, Riz, Céréales"
8,Salade de lentilles,Tomates cerises,250,g,Fruits et Légumes
8,Salade de lentilles,Basilic,10,feuilles,Fruits et Légumes
9,Salades d'haricots blancs,Haricots blancs cuits,600,g,Conserves
9,Salades d'haricots blancs,Oignon rouge,1,u,Fruits et Légumes
